证券代码,股票代码,证券名称,公司中文名称,公司英文名称,股票种类,是否上市
000088.SZ,88,盐田港,深圳市盐田港股份有限公司,"Shenzhen Yan Tian Port Holdings Co.,Ltd.",A股,上市
000089.SZ,89,深圳机场,深圳市机场股份有限公司,"Shenzhen Airport Co.,Ltd.",A股,上市
000090.SZ,90,天健集团,深圳市天健(集团)股份有限公司,"Shenzhen Tagen Group Co.,Ltd.",A股,上市
000096.SZ,96,广聚能源,深圳市广聚能源股份有限公司,"Shenzhen Guangju Energy Co.,Ltd.",A股,上市
000099.SZ,99,中信海直,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD.",A股,上市
000100.SZ,100,TCL科技,TCL科技集团股份有限公司,TCL Technology Group Corporation,A股,上市
000150.SZ,150,*ST宜康,宜华健康医疗股份有限公司,"YIHUA HEALTHCARE CO.,LTD",A股,上市
000151.SZ,151,中成股份,中成进出口股份有限公司,"China National Complete Plant Import and Export Co.,Ltd.",A股,上市
000153.SZ,153,丰原药业,安徽丰原药业股份有限公司,"Anhui Fengyuan Pharmaceutical Co.,Ltd.",A股,上市
000155.SZ,155,川能动力,四川省新能源动力股份有限公司,Sichuan New Energy Power Company Limited,A股,上市
000156.SZ,156,华数传媒,华数传媒控股股份有限公司,"Wasu Media Holding Co.,ltd.",A股,上市
000157.SZ,157,中联重科,中联重科股份有限公司,"Zoomlion Heavy Industry Science And Technology Co., Ltd.",A股,上市
000158.SZ,158,常山北明,石家庄常山北明科技股份有限公司,"Shijiazhuang ChangShan BeiMing Technology Co.,Ltd",A股,上市
000159.SZ,159,国际实业,新疆国际实业股份有限公司,"Xinjiang International Industry Co.,Ltd.",A股,上市
000166.SZ,166,申万宏源,申万宏源集团股份有限公司,"SHENWAN HONGYUAN GROUP CO., LTD.",A股,上市
000301.SZ,301,东方盛虹,江苏东方盛虹股份有限公司,"Jiangsu Eastern Shenghong Co.,Ltd.",A股,上市
000333.SZ,333,美的集团,美的集团股份有限公司,"Midea Group Co., Ltd.",A股,上市
000338.SZ,338,潍柴动力,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",A股,上市
000400.SZ,400,许继电气,许继电气股份有限公司,"XJ Electric Co.,Ltd.",A股,上市
000401.SZ,401,冀东水泥,唐山冀东水泥股份有限公司,"TANGSHAN JIDONG CEMENT CO.,LTD.",A股,上市
000402.SZ,402,金融街,金融街控股股份有限公司,"Financial Street Holdings Co.,Ltd.",A股,上市
000403.SZ,403,派林生物,派斯双林生物制药股份有限公司,"Pacific Shuanglin Bio-pharmacy Co., LTD",A股,上市
000404.SZ,404,长虹华意,长虹华意压缩机股份有限公司,"CHANGHONG HUAYI COMPRESSOR CO., LTD.",A股,上市
000407.SZ,407,胜利股份,山东胜利股份有限公司,"Shandong Shengli Co.,Ltd.",A股,上市
000408.SZ,408,藏格矿业,藏格矿业股份有限公司,ZANGGE MINING COMPANY LIMITED,A股,上市
