证券代码,股票代码,证券名称,公司中文名称,公司英文名称,股票种类,是否上市
002044.SZ,2044,美年健康,美年大健康产业控股股份有限公司,"Meinian Onehealth Healthcare Holdings Co., Ltd.",A股,上市
002045.SZ,2045,国光电器,国光电器股份有限公司,GUOGUANG ELECTRIC COMPANY LIMITED,A股,上市
002046.SZ,2046,国机精工,国机精工股份有限公司,"Sinomach Precision Industry Co.,Ltd.",A股,上市
002047.SZ,2047,宝鹰股份,深圳市宝鹰建设控股集团股份有限公司,"Shenzhen Bauing Construction Holding Group Co.,Ltd.",A股,上市
002048.SZ,2048,宁波华翔,宁波华翔电子股份有限公司,"Ningbo Huaxiang Electronic Co.,Ltd.",A股,上市
002049.SZ,2049,紫光国微,紫光国芯微电子股份有限公司,"Unigroup Guoxin Microelectronics Co., Ltd.",A股,上市
002050.SZ,2050,三花智控,浙江三花智能控制股份有限公司,"Zhejiang Sanhua Intelligent Controls Co.,Ltd.",A股,上市
002051.SZ,2051,中工国际,中工国际工程股份有限公司,"China CAMC Engineering Co., Ltd.",A股,上市
002052.SZ,2052,*ST同洲,深圳市同洲电子股份有限公司,"Shenzhen Coship Electronics Co.,Ltd.",A股,上市
002053.SZ,2053,云南能投,云南能源投资股份有限公司,"Yunnan Energy Investment Co.,Ltd.",A股,上市
002054.SZ,2054,德美化工,广东德美精细化工集团股份有限公司,Dymatic Chemicals Inc.,A股,上市
002055.SZ,2055,得润电子,深圳市得润电子股份有限公司,"Shenzhen Deren Electronic Co., Ltd.",A股,上市
002056.SZ,2056,横店东磁,横店集团东磁股份有限公司,"Hengdian Group DMEGC Magnetics Co., Ltd.",A股,上市
002057.SZ,2057,中钢天源,中钢天源股份有限公司,"SINOSTEEL NEW MATERIALS CO.,LTD.",A股,上市
002058.SZ,2058,威尔泰,上海威尔泰工业自动化股份有限公司,"Shanghai Welltech Automation Co., Ltd.",A股,上市
002059.SZ,2059,云南旅游,云南旅游股份有限公司,"Yunnan Tourism Co., Ltd.",A股,上市
002060.SZ,2060,粤水电,广东水电二局股份有限公司,"Guangdong No.2 Hydropower Engineering Company, Ltd.",A股,上市
002061.SZ,2061,浙江交科,浙江交通科技股份有限公司,"Zhejiang Communications Technology Co.,Ltd.",A股,上市
002062.SZ,2062,宏润建设,宏润建设集团股份有限公司,"HONGRUN CONSTRUCTION GROUP CO.,LTD.",A股,上市
002063.SZ,2063,远光软件,远光软件股份有限公司,YGSOFT Inc.,A股,上市
002064.SZ,2064,华峰化学,华峰化学股份有限公司,"Huafon Chemical Co., Ltd.",A股,上市
002065.SZ,2065,东华软件,东华软件股份公司,"DHC Software Co.,Ltd",A股,上市
002066.SZ,2066,瑞泰科技,瑞泰科技股份有限公司,"Ruitai Materials Technology Co.,Ltd.",A股,上市
002067.SZ,2067,景兴纸业,浙江景兴纸业股份有限公司,"Zhejiang Jingxing Paper Joint Stock Co., Ltd.",A股,上市
002068.SZ,2068,黑猫股份,江西黑猫炭黑股份有限公司,"JIANGXI BLACK CAT CARBON BLACK INC.,LTD",A股,上市
002069.SZ,2069,ST獐子岛,獐子岛集团股份有限公司,"ZONECO GROUP CO.,LTD.",A股,上市
002072.SZ,2072,*ST凯瑞,凯瑞德控股股份有限公司,"Kairuide Holding Co.,Ltd.",A股,上市
002073.SZ,2073,软控股份,软控股份有限公司,"Mesnac Co.,Ltd.",A股,上市
002074.SZ,2074,国轩高科,国轩高科股份有限公司,"Gotion High-tech Co.,Ltd.",A股,上市
002075.SZ,2075,沙钢股份,江苏沙钢股份有限公司,"JIANGSU SHAGANG CO.,LTD.",A股,上市
002076.SZ,2076,*ST雪莱,广东雪莱特光电科技股份有限公司,"Cnlight Co.,Ltd.",A股,上市
002077.SZ,2077,大港股份,江苏大港股份有限公司,"Jiangsu Dagang Co.,Ltd.",A股,上市
002078.SZ,2078,太阳纸业,山东太阳纸业股份有限公司,"SHANDONG SUN PAPER CO., LTD.",A股,上市
002079.SZ,2079,苏州固锝,苏州固锝电子股份有限公司,"Suzhou Good-ark Electronics Co., Ltd.",A股,上市
002080.SZ,2080,中材科技,中材科技股份有限公司,"Sinoma Science & Technology Co.,Ltd.",A股,上市
002081.SZ,2081,金螳螂,苏州金螳螂建筑装饰股份有限公司,"Suzhou Gold Mantis Construction Decoration Co., Ltd.",A股,上市
002082.SZ,2082,万邦德,万邦德医药控股集团股份有限公司,"WANBANGDE PHARMACEUTICAL HOLDING GROUP CO.,LTD.",A股,上市
002083.SZ,2083,孚日股份,孚日集团股份有限公司,"Sunvim Group Co.,Ltd.",A股,上市
002084.SZ,2084,海鸥住工,广州海鸥住宅工业股份有限公司,"GuangZhou Seagull Kitchen And Bath Products Co.,Ltd.",A股,上市
002085.SZ,2085,万丰奥威,浙江万丰奥威汽轮股份有限公司,"Zhejiang Wanfeng Auto Wheel CO., LTD.",A股,上市
002086.SZ,2086,ST东洋,山东东方海洋科技股份有限公司,"Shandong Oriental Ocean Sci-Tech Co., Ltd.",A股,上市
002087.SZ,2087,新野纺织,河南新野纺织股份有限公司,"Henan Xinye Textile Co.,Ltd.",A股,上市
002088.SZ,2088,鲁阳节能,山东鲁阳节能材料股份有限公司,"Luyang Energy-saving Materials Co.,Ltd.",A股,上市
002089.SZ,2089,ST新海,新海宜科技集团股份有限公司,"Suzhou New Sea Union Telecom Technology Co., Ltd.",A股,上市
002090.SZ,2090,金智科技,江苏金智科技股份有限公司,"Wiscom System Co., Ltd.",A股,上市
002091.SZ,2091,江苏国泰,江苏国泰国际集团股份有限公司,JIANGSU GUOTAI INTERNATIONAL GROUP CO. LTD.,A股,上市
002092.SZ,2092,中泰化学,新疆中泰化学股份有限公司,"Xinjiang Zhongtai Chenical Co.,Ltd.",A股,上市
002093.SZ,2093,国脉科技,国脉科技股份有限公司,"Guomai Technologies,Inc.",A股,上市
002094.SZ,2094,青岛金王,青岛金王应用化学股份有限公司,"Qingdao Kingking Applied Chemistry Co., Ltd.",A股,上市
002095.SZ,2095,生意宝,浙江网盛生意宝股份有限公司,"Zhejiang Netsun Co.,Ltd.",A股,上市
002096.SZ,2096,南岭民爆,湖南南岭民用爆破器材股份有限公司,"Hunan Nanling Industry Explosive Material Co.,Ltd.",A股,上市
002097.SZ,2097,山河智能,山河智能装备股份有限公司,"Sunward Intelligent Equipment Co.,Ltd.",A股,上市
002098.SZ,2098,浔兴股份,福建浔兴拉链科技股份有限公司,"Fujian SBS Zipper Scienceand Technology Co.,Ltd",A股,上市
002099.SZ,2099,海翔药业,浙江海翔药业股份有限公司,"Zhejiang Hisoar Pharmaceutical Co.,Ltd.",A股,上市
002100.SZ,2100,天康生物,天康生物股份有限公司,Tecon Biology Co.Ltd,A股,上市
002101.SZ,2101,广东鸿图,广东鸿图科技股份有限公司,"Guangdong Hongtu Technology (holdings) Co., Ltd.",A股,上市
002102.SZ,2102,ST冠福,冠福控股股份有限公司,"Guanfu Holdings CO.,Ltd.",A股,上市
002103.SZ,2103,广博股份,广博集团股份有限公司,"Guangbo Group Stock Co.,Ltd.",A股,上市
002104.SZ,2104,恒宝股份,恒宝股份有限公司,"HengBao Co.,Ltd.",A股,上市
002105.SZ,2105,信隆健康,深圳信隆健康产业发展股份有限公司,HL Corp (Shenzhen),A股,上市
002106.SZ,2106,莱宝高科,深圳莱宝高科技股份有限公司,"Shenzhen Laibao High-tech Co., Ltd.",A股,上市
002107.SZ,2107,沃华医药,山东沃华医药科技股份有限公司,"Shandong Wohua Pharmaceutical Co., Ltd.",A股,上市
002108.SZ,2108,沧州明珠,沧州明珠塑料股份有限公司,"Cangzhou MingZhu Plastic Co.,Ltd.",A股,上市
002109.SZ,2109,兴化股份,陕西兴化化学股份有限公司,"Shaanxi Xinghua Chemistry Co., Ltd.",A股,上市
002110.SZ,2110,三钢闽光,福建三钢闽光股份有限公司,"Sansteel Minguang Co.,Ltd.,Fujian",A股,上市
002111.SZ,2111,威海广泰,威海广泰空港设备股份有限公司,"Weihai Guangtai Airport Equipment Co.,Ltd.",A股,上市
002112.SZ,2112,三变科技,三变科技股份有限公司,"San Bian Science & Technology Co.,Ltd.",A股,上市
002113.SZ,2113,ST天润,湖南天润数字娱乐文化传媒股份有限公司,"Hunan Tianrun Digital Entertainment & Cultural Media Co.,Ltd.",A股,上市
002114.SZ,2114,罗平锌电,云南罗平锌电股份有限公司,"Yunnan luoping Zinc&Electricity Co., Ltd.",A股,上市
002115.SZ,2115,三维通信,三维通信股份有限公司,"Sunwave Communications Co.,Ltd.",A股,上市
002116.SZ,2116,中国海诚,中国海诚工程科技股份有限公司,"China Haisum Engineering Co.,Ltd.",A股,上市
002117.SZ,2117,东港股份,东港股份有限公司,Tungkong Inc.,A股,上市
002118.SZ,2118,紫鑫药业,吉林紫鑫药业股份有限公司,"JILIN ZIXIN PHARMACEUTICAL INDUSTRIAL CO.,LTD",A股,上市
002119.SZ,2119,康强电子,宁波康强电子股份有限公司,"Ningbo Kangqiang Electronics Co., Ltd.",A股,上市
002120.SZ,2120,韵达股份,韵达控股股份有限公司,"YUNDA Holding CO., Ltd.",A股,上市
002121.SZ,2121,科陆电子,深圳市科陆电子科技股份有限公司,"Shenzhen Clou Electronics Co.,Ltd.",A股,上市
002122.SZ,2122,ST天马,天马轴承集团股份有限公司,"Tianma Bearing Group Co., Ltd.",A股,上市
002123.SZ,2123,梦网科技,梦网云科技集团股份有限公司,"MONTNETS CLOUD TECHNOLOGY GROUP CO.,LTD",A股,上市
002124.SZ,2124,天邦股份,天邦食品股份有限公司,"Tech-bank Food Co.,Ltd.",A股,上市
002125.SZ,2125,湘潭电化,湘潭电化科技股份有限公司,"XIANGTAN ELECTROCHEMICAL SCIENTIFIC CO.,LTD",A股,上市
002126.SZ,2126,银轮股份,浙江银轮机械股份有限公司,"ZHEJIANG YINLUN MACHINERY CO.,LTD.",A股,上市
002127.SZ,2127,南极电商,南极电商股份有限公司,"NanJi E-Commerce Co., LTD",A股,上市
002128.SZ,2128,电投能源,内蒙古电投能源股份有限公司,INNER MONGOLIA DIAN TOU ENERGY CORPORATION LIMITED,A股,上市
002129.SZ,2129,中环股份,天津中环半导体股份有限公司,"TIANJIN ZHONGHUAN SEMICONDUCTOR CO.,LTD.",A股,上市
002130.SZ,2130,沃尔核材,深圳市沃尔核材股份有限公司,"Shenzhen Woer Heat-Shrinkable Material Co.,Ltd.",A股,上市
002131.SZ,2131,利欧股份,利欧集团股份有限公司,"Leo Group Co.,Ltd.",A股,上市
002132.SZ,2132,恒星科技,河南恒星科技股份有限公司,"Henan Hengxing Science & Technology Co.,Ltd.",A股,上市
002133.SZ,2133,广宇集团,广宇集团股份有限公司,"Cosmos Group Co., Ltd.",A股,上市
002134.SZ,2134,天津普林,天津普林电路股份有限公司,Tianjin Printronics Circuit Corporation,A股,上市
002135.SZ,2135,东南网架,浙江东南网架股份有限公司,"Zhejiang Southeast Space Frame Co., Ltd.",A股,上市
002136.SZ,2136,安纳达,安徽安纳达钛业股份有限公司,"Anhui Annada Titanium Industry Co.,Ltd.",A股,上市
002137.SZ,2137,实益达,深圳市实益达科技股份有限公司,"SHENZHEN SEA STAR TECHNOLOGY CO., LTD",A股,上市
002138.SZ,2138,顺络电子,深圳顺络电子股份有限公司,"Shenzhen Sunlord Electronics Co.,Ltd.",A股,上市
002139.SZ,2139,拓邦股份,深圳拓邦股份有限公司,"Shenzhen Topband Co., Ltd.",A股,上市
002140.SZ,2140,东华科技,东华工程科技股份有限公司,"East China Engineering Science and Technology Co.,Ltd.",A股,上市
002141.SZ,2141,贤丰控股,贤丰控股股份有限公司,"Infund Holding Co.,Ltd.",A股,上市
002142.SZ,2142,宁波银行,宁波银行股份有限公司,"Bank Of Ningbo Co.,Ltd.",A股,上市
002144.SZ,2144,宏达高科,宏达高科控股股份有限公司,"Hongda High-Tech Holding Co.,Ltd.",A股,上市
002145.SZ,2145,中核钛白,中核华原钛白股份有限公司,"CNNC HUA YUAN TITANIUM DIOXIDE CO., LTD",A股,上市
002146.SZ,2146,荣盛发展,荣盛房地产发展股份有限公司,"RiseSun Real Estate Development Co.,Ltd.",A股,上市
002147.SZ,2147,新光退,新光圆成股份有限公司,Neoglory prosperity Inc.,A股,上市
002148.SZ,2148,北纬科技,北京北纬通信科技股份有限公司,"Beijing Bewinner Communications Co., Ltd.",A股,上市
002149.SZ,2149,西部材料,西部金属材料股份有限公司,"Western Metal Materials Co.,Ltd.",A股,上市
002150.SZ,2150,通润装备,江苏通润装备科技股份有限公司,"Jiangsu Tongrun Equipment Technology Co.,Ltd.",A股,上市
002151.SZ,2151,北斗星通,北京北斗星通导航技术股份有限公司,"Beijing BDStar Navigation Co., Ltd.",A股,上市
002152.SZ,2152,广电运通,广州广电运通金融电子股份有限公司,"GRG Banking Equipment Co., Ltd.",A股,上市
002153.SZ,2153,石基信息,北京中长石基信息技术股份有限公司,"Beijing Shiji Information Technology Co., Ltd.",A股,上市
002154.SZ,2154,报喜鸟,报喜鸟控股股份有限公司,"BAOXINIAO HOLDING CO.,LTD",A股,上市
002155.SZ,2155,湖南黄金,湖南黄金股份有限公司,Hunan Gold Corporation Limited,A股,上市
002156.SZ,2156,通富微电,通富微电子股份有限公司,"TongFu Microelectronics Co.,Ltd.",A股,上市
002157.SZ,2157,正邦科技,江西正邦科技股份有限公司,"Jiangxi Zhengbang Technology Co.,Ltd.",A股,上市
002158.SZ,2158,汉钟精机,上海汉钟精机股份有限公司,"Shanghai Hanbell Precise Machinery Co.,Ltd.",A股,上市
002159.SZ,2159,三特索道,武汉三特索道集团股份有限公司,"Wuhan Sante Cableway Group Co., Ltd.",A股,上市
002160.SZ,2160,常铝股份,江苏常铝铝业集团股份有限公司,"Jiangsu Alcha Aluminium Group Co.,Ltd.",A股,上市
002161.SZ,2161,远望谷,深圳市远望谷信息技术股份有限公司,"Invengo Information Technology Co., Ltd.",A股,上市
002162.SZ,2162,悦心健康,上海悦心健康集团股份有限公司,"EVERJOY HEALTH GROUP CO., LTD.",A股,上市
002163.SZ,2163,海南发展,海控南海发展股份有限公司,"Hainan Development Holdings Nanhai Co., Ltd.",A股,上市
002164.SZ,2164,宁波东力,宁波东力股份有限公司,"Ningbo Donly Co.,ltd",A股,上市
002165.SZ,2165,红宝丽,红宝丽集团股份有限公司,"Hongbaoli Group Corporation, Ltd.",A股,上市
002166.SZ,2166,莱茵生物,桂林莱茵生物科技股份有限公司,Guilin Layn Natural Ingredients Corp.,A股,上市
002167.SZ,2167,东方锆业,广东东方锆业科技股份有限公司,"Guangdong Orient Zirconic Ind Sci and Tech Co.,Ltd.",A股,上市
002168.SZ,2168,惠程科技,深圳市惠程信息科技股份有限公司,"Shenzhen Hifuture Information Technology Co., Ltd.",A股,上市
002169.SZ,2169,智光电气,广州智光电气股份有限公司,"Guangzhou Zhiguang Electric Co.,Ltd.",A股,上市
002170.SZ,2170,芭田股份,深圳市芭田生态工程股份有限公司,"Shenzhen Batian Ecotypic Engineering Co.,Ltd.",A股,上市
002171.SZ,2171,楚江新材,安徽楚江科技新材料股份有限公司,"Anhui Truchum Advanced Materials and Technology Co.,Ltd.",A股,上市
002172.SZ,2172,澳洋健康,江苏澳洋健康产业股份有限公司,Jiangsu Aoyang Health Industry Co.ltd.,A股,上市
002173.SZ,2173,创新医疗,创新医疗管理股份有限公司,"Innovation Medical Management Co.,Ltd.",A股,上市
002174.SZ,2174,游族网络,游族网络股份有限公司,"YOOZOO Interactive CO., LTD.",A股,上市
002175.SZ,2175,东方网络,东方时代网络传媒股份有限公司,Oriental Times Media Corporation,A股,上市
002176.SZ,2176,江特电机,江西特种电机股份有限公司,"Jiangxi Special Electric Motor Co.,Ltd.",A股,上市
002177.SZ,2177,*ST御银,广州御银科技股份有限公司,"Guangzhou Kingteller Technology Co.,Ltd.",A股,上市
002178.SZ,2178,延华智能,上海延华智能科技(集团)股份有限公司,"Shanghai Yanhua Smartech Group Co.,Ltd.",A股,上市
002179.SZ,2179,中航光电,中航光电科技股份有限公司,"AVIC Jonhon Optronic Technology Co.,Ltd.",A股,上市
002180.SZ,2180,纳思达,纳思达股份有限公司,Ninestar Corporation,A股,上市
002181.SZ,2181,粤传媒,广东广州日报传媒股份有限公司,"Guangdong Guangzhou Daily Media Co., Ltd.",A股,上市
002182.SZ,2182,云海金属,南京云海特种金属股份有限公司,"NANJING YUNHAI SPECIAL METALS CO., LTD",A股,上市
002183.SZ,2183,怡亚通,深圳市怡亚通供应链股份有限公司,Eternal Asia Supply Chain Management Ltd.,A股,上市
002184.SZ,2184,海得控制,上海海得控制系统股份有限公司,"Shanghai Hi-Tech Control System Co., Ltd.",A股,上市
002185.SZ,2185,华天科技,天水华天科技股份有限公司,"Tianshui Huatian Technology Co., Ltd.",A股,上市
002186.SZ,2186,全聚德,中国全聚德(集团)股份有限公司,"China Quanjude(Group) Co.,Ltd.",A股,上市
002187.SZ,2187,广百股份,广州市广百股份有限公司,"Guangzhou Grandbuy Co.,Ltd.",A股,上市
002188.SZ,2188,*ST巴士,巴士在线股份有限公司,"Bus Online Co.,Ltd.",A股,上市
002189.SZ,2189,中光学,中光学集团股份有限公司,"Costar Group Co., Ltd.",A股,上市
002190.SZ,2190,成飞集成,四川成飞集成科技股份有限公司,Sichuan Chengfei Integration Technology Corp.Ltd.,A股,上市
002191.SZ,2191,劲嘉股份,深圳劲嘉集团股份有限公司,"ShenZhen JinJia Group Co.,Ltd.",A股,上市
002192.SZ,2192,融捷股份,融捷股份有限公司,"Youngy Co.,Ltd.",A股,上市
002193.SZ,2193,如意集团,山东如意毛纺服装集团股份有限公司,"Shandong Ruyi Woolen Garment Group Co., Ltd",A股,上市
002194.SZ,2194,武汉凡谷,武汉凡谷电子技术股份有限公司,"Wuhan Fingu Electronic Technology Co., Ltd.",A股,上市
002195.SZ,2195,二三四五,上海二三四五网络控股集团股份有限公司,"Shanghai 2345 Network Holding Group Co., Ltd.",A股,上市
002196.SZ,2196,方正电机,浙江方正电机股份有限公司,"Zhejiang Founder Motor Co.,Ltd.",A股,上市
002197.SZ,2197,证通电子,深圳市证通电子股份有限公司,"SZZT Electronics Co.,Ltd.",A股,上市
002198.SZ,2198,嘉应制药,广东嘉应制药股份有限公司,"Guangdong Jiaying Pharmaceutical Co.,Ltd.",A股,上市
002199.SZ,2199,东晶电子,浙江东晶电子股份有限公司,"Zhejiang East Crystal Electronic Co., Ltd.",A股,上市
002200.SZ,2200,ST云投,云南云投生态环境科技股份有限公司,"Yunnan Yuntou Ecology and Environment Technology Co., Ltd.",A股,上市
002201.SZ,2201,正威新材,江苏正威新材料股份有限公司,"JIANGSU AMER NEW MATERIAL CO., LTD.",A股,上市
002202.SZ,2202,金风科技,新疆金风科技股份有限公司,"Xinjiang Goldwind Science And Technology Co., Ltd.",A股,上市
002203.SZ,2203,海亮股份,浙江海亮股份有限公司,"Zhejiang Hailiang Co.,Ltd.",A股,上市
002204.SZ,2204,大连重工,大连华锐重工集团股份有限公司,"Dalian Huarui Heavy Industry Group Co.,LTD.",A股,上市
002205.SZ,2205,国统股份,新疆国统管道股份有限公司,"Xinjiang Guotong Pipeline Co.,Ltd.",A股,上市
002206.SZ,2206,海利得,浙江海利得新材料股份有限公司,"Zhejiang Hailide New Material Co.,Ltd.",A股,上市
002207.SZ,2207,准油股份,新疆准东石油技术股份有限公司,"Xinjiang Zhundong Petroleum Technology Co.,Ltd.",A股,上市
002208.SZ,2208,合肥城建,合肥城建发展股份有限公司,"Hefei Urban Construction Development Co., Ltd.",A股,上市
002209.SZ,2209,达意隆,广州达意隆包装机械股份有限公司,"Guangzhou Tech-Long Packaging Machinery Co., Ltd.",A股,上市
002210.SZ,2210,飞马国际,深圳市飞马国际供应链股份有限公司,"Shenzhen Feima International Supply Chain Co., Ltd.",A股,上市
002211.SZ,2211,ST宏达,上海宏达新材料股份有限公司,"Shanghai Hongda New Material Co.,Ltd.",A股,上市
002212.SZ,2212,天融信,天融信科技集团股份有限公司,Topsec Technologies Group Inc.,A股,上市
002213.SZ,2213,大为股份,深圳市大为创新科技股份有限公司,"Shenzhen Dawei Innovation Technology Co., Ltd.",A股,上市
002214.SZ,2214,大立科技,浙江大立科技股份有限公司,"Zhejiang Dali Technology Co.,Ltd.",A股,上市
002215.SZ,2215,诺普信,深圳诺普信农化股份有限公司,"SHENZHEN NOPOSION AGROCHEMICALS CO.,LTD.",A股,上市
002216.SZ,2216,三全食品,三全食品股份有限公司,"Sanquan Food Co.,Ltd",A股,上市
002217.SZ,2217,合力泰,合力泰科技股份有限公司,"Holitech Technology Co., Ltd.",A股,上市
002218.SZ,2218,拓日新能,深圳市拓日新能源科技股份有限公司,"Shenzhen Topraysolar Co., Ltd.",A股,上市
002219.SZ,2219,*ST恒康,恒康医疗集团股份有限公司,"Hengkang Medical Group Co.,Ltd.",A股,上市
002221.SZ,2221,东华能源,东华能源股份有限公司,"Oriental Energy Co.,Ltd.",A股,上市
002222.SZ,2222,福晶科技,福建福晶科技股份有限公司,Castech Inc.,A股,上市
002223.SZ,2223,鱼跃医疗,江苏鱼跃医疗设备股份有限公司,"Jiangsu Yuyue Medical Equipment and Supply Co., Ltd.",A股,上市
002224.SZ,2224,三力士,三力士股份有限公司,"Sanlux Co.,Ltd.",A股,上市
002225.SZ,2225,濮耐股份,濮阳濮耐高温材料(集团)股份有限公司,"Puyang Refractories Group Co.,Ltd.",A股,上市
002226.SZ,2226,江南化工,安徽江南化工股份有限公司,"Anhui Jiangnan Chemical Industry Co.,Ltd.",A股,上市
002227.SZ,2227,奥特迅,深圳奥特迅电力设备股份有限公司,"Shenzhen Auto Electric Power Plant Co., Ltd.",A股,上市
002228.SZ,2228,合兴包装,厦门合兴包装印刷股份有限公司,"Xiamen Hexing Packaging Printing Co.,Ltd.",A股,上市
002229.SZ,2229,鸿博股份,鸿博股份有限公司,"Hongbo Co., Ltd.",A股,上市
002230.SZ,2230,科大讯飞,科大讯飞股份有限公司,"Iflytek Co.,Ltd.",A股,上市
002231.SZ,2231,奥维通信,奥维通信股份有限公司,ALLWIN TELECOMMUNICATION CO.LTD,A股,上市
002232.SZ,2232,启明信息,启明信息技术股份有限公司,"Qiming Information Technology Co.,Ltd",A股,上市
002233.SZ,2233,塔牌集团,广东塔牌集团股份有限公司,"GUANGDONG TAPAI GROUP CO.,LTD.",A股,上市
002234.SZ,2234,民和股份,山东民和牧业股份有限公司,"Shandong Minhe Animal Husbandry Co.,Ltd.",A股,上市
002235.SZ,2235,安妮股份,厦门安妮股份有限公司,Xiamen anne co.ltd.,A股,上市
002236.SZ,2236,大华股份,浙江大华技术股份有限公司,"Zhejiang Dahua Technology Co.,Ltd.",A股,上市
002237.SZ,2237,恒邦股份,山东恒邦冶炼股份有限公司,"Shandong Humon Smelting Co.,Ltd.",A股,上市
002238.SZ,2238,天威视讯,深圳市天威视讯股份有限公司,"Shenzhen Topway Video Communication Co., Ltd.",A股,上市
002239.SZ,2239,奥特佳,奥特佳新能源科技股份有限公司,"Aotecar New Energy Technology Co.,Ltd.",A股,上市
002240.SZ,2240,盛新锂能,盛新锂能集团股份有限公司,"Chengxin Lithium Group Co., Ltd.",A股,上市
002241.SZ,2241,歌尔股份,歌尔股份有限公司,Goertek Inc.,A股,上市
002242.SZ,2242,九阳股份,九阳股份有限公司,"Joyoung Co.,Ltd.",A股,上市
002243.SZ,2243,力合科创,深圳市力合科创股份有限公司,"SHENZHEN LEAGUER CO.,LTD.",A股,上市
002244.SZ,2244,滨江集团,杭州滨江房产集团股份有限公司,"Hangzhou Binjiang Real Estate Group Co.,Ltd.",A股,上市
002245.SZ,2245,蔚蓝锂芯,江苏蔚蓝锂芯股份有限公司,Jiangsu Azure Corporation,A股,上市
002246.SZ,2246,北化股份,北方化学工业股份有限公司,"North Chemical Industries Co., Ltd",A股,上市
002247.SZ,2247,聚力文化,浙江聚力文化发展股份有限公司,"Zhejiang Juli Culture Development Co.,Ltd.",A股,上市
002248.SZ,2248,华东数控,威海华东数控股份有限公司,"Weihai Huadong Automation Co.,Ltd.",A股,上市
002249.SZ,2249,大洋电机,中山大洋电机股份有限公司,"ZHONGSHAN BROAD-OCEAN MOTOR CO.,LTD.",A股,上市
002250.SZ,2250,联化科技,联化科技股份有限公司,"LIANHE CHEMICAL TECHNOLOGY CO.,LTD.",A股,上市
002251.SZ,2251,步步高,步步高商业连锁股份有限公司,"Better Life Commercial Chain Share Co.,Ltd.",A股,上市
002252.SZ,2252,上海莱士,上海莱士血液制品股份有限公司,"Shanghai RAAS Blood Products Co., Ltd.",A股,上市
002253.SZ,2253,川大智胜,四川川大智胜软件股份有限公司,"Wisesoft Co., Ltd.",A股,上市
002254.SZ,2254,泰和新材,烟台泰和新材料股份有限公司,"Yantai Tayho Advanced Materials Co.,Ltd.",A股,上市
002255.SZ,2255,海陆重工,苏州海陆重工股份有限公司,"Suzhou Hailu Heavy Industry Co.,Ltd.",A股,上市
002256.SZ,2256,兆新股份,深圳市兆新能源股份有限公司,"Shenzhen Sunrise New Energy Co., Ltd.",A股,上市
002258.SZ,2258,利尔化学,利尔化学股份有限公司,"Lier Chemical Co.,LTD.",A股,上市
002259.SZ,2259,ST升达,四川升达林业产业股份有限公司,"Sichuan Shengda Forestry Industry Co.,Ltd.",A股,上市
002260.SZ,2260,德奥退,德奥通用航空股份有限公司,"DEA General Aviation Holding Co.,Ltd.",A股,上市
002261.SZ,2261,拓维信息,拓维信息系统股份有限公司,"Talkweb Information System Co.,Ltd.",A股,上市
002262.SZ,2262,恩华药业,江苏恩华药业股份有限公司,"Jiangsu Nhwa Pharmaceutical Co., LTD",A股,上市
002263.SZ,2263,大东南,浙江大东南股份有限公司,"Zhejiang Great Southeast Co.,Ltd",A股,上市
002264.SZ,2264,新华都,新华都购物广场股份有限公司,"New Hua Du Supercenter Co.,Ltd.",A股,上市
002265.SZ,2265,西仪股份,云南西仪工业股份有限公司,"YUNNAN XIYI INDUSTRIAL CO.,LTD",A股,上市
002266.SZ,2266,浙富控股,浙富控股集团股份有限公司,"Zhefu Holding Group Co.,Ltd.",A股,上市
002267.SZ,2267,陕天然气,陕西省天然气股份有限公司,"ShaanXi Provincial Natural Gas Co.,Ltd.",A股,上市
002268.SZ,2268,卫士通,成都卫士通信息产业股份有限公司,Westone Information Industry Inc.,A股,上市
002269.SZ,2269,美邦服饰,上海美特斯邦威服饰股份有限公司,"Shanghai Metersbonwe Fashion&Accessories Co.,Ltd",A股,上市
002270.SZ,2270,华明装备,华明电力装备股份有限公司,"Huaming Power Equipment Co.,Ltd.",A股,上市
002271.SZ,2271,东方雨虹,北京东方雨虹防水技术股份有限公司,"Beijing Oriental Yuhong Waterproof Technology Co.,Ltd.",A股,上市
002272.SZ,2272,川润股份,四川川润股份有限公司,"Sichuan Crun Co.,Ltd.",A股,上市
002273.SZ,2273,水晶光电,浙江水晶光电科技股份有限公司,"Zhejiang Crystal-Optech Co., Ltd.",A股,上市
002274.SZ,2274,华昌化工,江苏华昌化工股份有限公司,"Jiangsu Huachang Chemical Co.,Ltd.",A股,上市
002275.SZ,2275,桂林三金,桂林三金药业股份有限公司,"Guilin Sanjin Pharmaceutical Co., Ltd.",A股,上市
002276.SZ,2276,万马股份,浙江万马股份有限公司,"Zhejiang Wanma Co., Ltd.",A股,上市
002277.SZ,2277,友阿股份,湖南友谊阿波罗商业股份有限公司,"Hunan Friendship&Apollo Commercial Co.,Ltd.",A股,上市
002278.SZ,2278,神开股份,上海神开石油化工装备股份有限公司,Shanghai SK Petroleum and Chemical Equipment Corporation Ltd,A股,上市
002279.SZ,2279,久其软件,北京久其软件股份有限公司,"Beijing Join-cheer Software Co.,Ltd.",A股,上市
002280.SZ,2280,联络互动,杭州联络互动信息科技股份有限公司,"Hangzhou Lianluo Interactive Information Technology Co.,Ltd",A股,上市
